item_name,description,category,intended_use,indoor_or_outdoor,portable,size
Push Lawn Mower,"A machine used to cut grass, often powered by gas, electricity, or manual effort.",Garden Equipment,Used to cut grass.,Outdoor,Yes,Medium
Leaf Blower,A device that uses air to blow leaves and debris off lawns or driveways.,Garden Tool,Used to blow leaves and debris off lawns or driveways.,Outdoor,Yes,Medium
Linen Cabinet,"A storage cabinet for towels, sheets, and other linens, often located in bathrooms or closets.",Furniture,"Used for storing towels, sheets, and other linens.",Indoor,No,Medium
Litter Box,"A container filled with litter for pets, such as cats, to use as a toilet.",Pet Supplies,A toilet for pets like cats.,Indoor,Yes,Medium
Living Room Chair,A comfortable chair designed for relaxation in the living room.,Furniture,Designed for relaxation in the living room.,Indoor,No,Medium
Loft Bed,A raised bed frame with space underneath for storage or other furniture.,Furniture,Used for sleeping with additional space for storage.,Indoor,No,Large
Loom,"A tool used for weaving fabric or textiles, often manually operated.",Craft Tool,Used for weaving fabric or textiles.,Indoor,No,Large
Lounge Chair,"A long, reclining chair designed for relaxation, often used outdoors or poolside.",Furniture,Designed for relaxation.,Outdoor,Yes,Large
Loveseat,A small sofa designed to seat two people comfortably.,Furniture,Designed to seat two people comfortably.,Indoor,No,Small
Magazine Rack,"A storage rack used for organizing magazines, newspapers, or books.",Furniture,"Used for organizing magazines, newspapers, or books.",Indoor,Yes,Medium
Makeup Table,"A table with a mirror and storage, used for applying makeup and grooming.",Furniture,Used for applying makeup and grooming.,Indoor,No,Medium
Martial Arts Training Dummy,A practice dummy used for martial arts training and striking techniques.,Fitness Equipment,Used for martial arts training and striking techniques.,Indoor,No,Medium
Massage Chair,"A chair equipped with mechanisms to provide massages, often with adjustable settings.",Furniture,Primarily used for providing massages.,Indoor,No,Large
Massage Table,"A portable or stationary table designed for massages, with cushioning for comfort.",Furniture,Designed for massages.,Indoor,Yes,Medium
Mattress,"A cushioned surface for sleeping, often placed on a bed frame.",Furniture,A surface for sleeping.,Indoor,No,Large
Mattress Topper,An additional layer of cushioning placed on top of a mattress for added comfort.,Furniture,Provides added comfort to a mattress.,Indoor,Yes,Medium
Medicine Cabinet,"A wall-mounted cabinet used to store medicines and toiletries, often with a mirror.",Furniture,Used to store medicines and toiletries.,Indoor,No,Medium
Metal Awning,"A durable, metal structure installed over windows or doors for shade or protection.",Outdoor Structure,Provides shade or protection over windows or doors.,Outdoor,No,Large
Metal Cabinet,"A cabinet made of metal, used for secure storage of tools or equipment.",Furniture,Used for secure storage of tools or equipment.,Indoor,No,Medium
Metal End Table,"A small metal table placed beside furniture, often used for lamps or decor.",Furniture,Used for lamps or decor.,Indoor,Yes,Small
Metal Locker,"A metal storage unit with lockable compartments, often used in schools or gyms.",Furniture,Used for storing items securely.,Indoor,No,Large
Microwave,A kitchen appliance used to heat or cook food quickly using microwave radiation.,Kitchen Appliance,Used to heat or cook food quickly.,Indoor,No,Medium
Microwave cart,A mobile cart designed to hold a microwave and provide additional kitchen storage.,Furniture,Designed to hold a microwave and provide additional kitchen storage.,Indoor,Yes,Medium
Mini Fridge,A compact refrigerator used for storing beverages or small amounts of food.,Kitchen Appliance,Used for storing beverages or small amounts of food.,Indoor,Yes,Small
Mirror,"A reflective surface, often framed, used for grooming or decoration.",Home Decor,Used for grooming or decoration.,Indoor,Yes,Medium
Modern TV,A flat-screen television with advanced features like smart connectivity or 4K resolution.,Electronics,Used for watching television programs and streaming content.,Indoor,No,Large
Nightstand,"A small table or cabinet placed next to a bed, used to hold personal items.",Furniture,Used to hold personal items next to a bed.,Indoor,Yes,Small
Office Chair,"A chair designed for use at a desk, often ergonomic and adjustable for comfort.",Furniture,Designed for use at a desk.,Indoor,Yes,Medium
Office Table,"A table used in office settings for meetings, work, or collaborative tasks.",Furniture,"Used in office settings for meetings, work, or collaborative tasks.",Indoor,No,Large
Organ,A keyboard musical instrument that produces sound through pipes or electronic means.,Musical Instrument,Used for playing music.,Indoor,No,Large
Ottoman,"A padded footstool or seat, often with storage inside.",Furniture,Used as a footstool or seat with storage.,Indoor,Yes,Medium
Outdoor Chair,A weather-resistant chair designed for outdoor seating and relaxation.,Furniture,Designed for outdoor seating and relaxation.,Outdoor,Yes,Medium
Outdoor Dining Table,"A table designed for dining outdoors, often made of durable materials.",Furniture,Designed for dining outdoors.,Outdoor,No,Large
Outdoor Rug,"A rug designed for use in outdoor spaces, resistant to weather and moisture.",Home Decor,A rug designed for use in outdoor spaces.,Outdoor,Yes,Medium
Outdoor Umbrella,"A large, weather-resistant umbrella used to provide shade in outdoor spaces.",Outdoor Equipment,Used to provide shade in outdoor spaces.,Outdoor,Yes,Large
Oven,"A kitchen appliance used for baking, roasting, and cooking food.",Kitchen Appliance,"Used for baking, roasting, and cooking food.",Indoor,No,Large
Pair of Crutches,Mobility aids designed to help individuals walk by providing support under the arms.,Mobility Aid,To help individuals walk by providing support under the arms.,Both,Yes,Medium
Paper Shredder,A device used to cut paper into small pieces for secure disposal.,Office Equipment,Used to cut paper into small pieces for secure disposal.,Indoor,Yes,Medium
Particle Board,A low-cost engineered wood product made from compressed wood chips and resin.,Building Material,Used for making furniture and cabinetry.,Indoor,No,Large
Pedicure Chair,"A chair equipped with a footrest and basin, used for pedicure services.",Furniture,Used for pedicure services.,Indoor,No,Large
Piano,A large keyboard instrument that produces sound by striking strings with hammers.,Musical Instrument,Used for playing music.,Indoor,No,Large
Piano Bench,"A bench designed for seating at a piano, often adjustable and cushioned.",Furniture,Seating at a piano.,Indoor,Yes,Medium
Picnic table,"A sturdy outdoor table with attached benches, commonly used for dining and gatherings.",Furniture,Used for dining and gatherings.,Outdoor,No,Large
Pillow,"A soft cushion used for head or back support, typically on beds or sofas.",Furniture,Used for head or back support.,Indoor,Yes,Medium
Ping Pong Table,A table with a net used for playing table tennis.,Sports Equipment,Used for playing table tennis.,Both,Yes,Large
Pitchfork,"A tool with long tines, used for lifting and moving hay or other materials.",Gardening Tool,Used for lifting and moving hay or other materials.,Outdoor,Yes,Large
Planer,A woodworking tool used to create flat surfaces and smooth out wooden boards.,Tool,Used to create flat surfaces and smooth out wooden boards.,Indoor,Yes,Medium
Plant Stand,A small table or pedestal designed to hold and display potted plants.,Furniture,Designed to hold and display potted plants.,Both,Yes,Small
Plastic Chair,"A lightweight, stackable chair made from molded plastic, often used outdoors.",Furniture,Used for seating.,Outdoor,Yes,Medium
Plastic Playhouse,"A small, plastic structure designed for children to play in, often resembling a house.",Toys,Designed for children to play in.,Both,Yes,Small
Plastic Shelving,"Durable, lightweight shelving made from plastic, used for storage.",Furniture,Used for storage.,Both,Yes,Medium
Plywood,A versatile construction material made of thin layers of wood veneer glued together.,Construction Material,Used for building and construction.,Both,No,Large
Poker Table,"A table designed specifically for playing poker, often with a padded surface and cup holders.",Furniture,Designed for playing poker.,Indoor,No,Large
Pool Table,"A game table used for playing billiards or pool, featuring a felt-covered surface.",Furniture,Used for playing billiards or pool.,Indoor,No,Large
Poolside Loungers,"Reclining chairs designed for relaxation by a pool, often adjustable and weather-resistant.",Furniture,Designed for relaxation by a pool.,Outdoor,Yes,Large
Potted Plant,"A plant grown in a container, often used indoors or on patios for decoration.",Home Decor,Used for decoration.,Both,Yes,Medium
Power Saw,"An electric or gas-powered saw used for cutting materials like wood, metal, or concrete.",Tools,"Used for cutting materials like wood, metal, or concrete.",Both,Yes,Medium
Printer / Scanner,A device that prints documents and images and can also scan physical documents into digital formats.,Electronics,Used for printing and scanning documents.,Indoor,No,Medium
Printer Stand,A small stand or table designed to hold a printer and provide storage for supplies.,Furniture,Designed to hold a printer and provide storage for supplies.,Indoor,Yes,Small
Projector Screen,"A flat, reflective surface used to display images or videos from a projector.",Electronics,Used to display images or videos from a projector.,Indoor,Yes,Large
Punching Bag,A heavy bag used for practicing punches and kicks in combat sports or fitness training.,Fitness Equipment,Used for practicing punches and kicks.,Both,No,Large
Push Scooter,"A lightweight, two-wheeled scooter propelled by pushing with one foot.",Outdoor Recreation,Used for personal transportation by pushing with one foot.,Outdoor,Yes,Medium
Quilt Rack,A stand used to hang and display quilts or blankets.,Furniture,Used to hang and display quilts or blankets.,Indoor,Yes,Medium
Radio,A device that receives and plays audio broadcasts transmitted over radio waves.,Electronics,Used to receive and play audio broadcasts.,Both,Yes,Medium
Railing,"A protective barrier installed on stairs, balconies, or decks for safety.",Home Improvement,"Installed for safety on stairs, balconies, or decks.",Both,No,Large
Recliner Chair,A comfortable chair with an adjustable backrest and footrest for relaxation.,Furniture,Used for relaxation.,Indoor,No,Large
Recliner Couch,"A sofa with built-in reclining seats, offering comfort and versatility.",Furniture,Used for comfortable seating and relaxation.,Indoor,No,Large
Recliner Loveseat,A two-seat sofa with reclining functionality for added comfort.,Furniture,A comfortable seating option for two people.,Indoor,No,Medium
Refrigerator,A household appliance used to store and preserve food and beverages by keeping them cold.,Kitchen Appliance,Used to store and preserve food and beverages by keeping them cold.,Indoor,No,Large
Residential Gas Steam Boiler,A heating system that uses gas to generate steam for warming homes.,Heating System,Used for warming homes.,Indoor,No,Large
Rice Cooker,A kitchen appliance used to steam and cook rice automatically.,Kitchen Appliance,Used to steam and cook rice automatically.,Indoor,Yes,Medium
Rocking Chair,A chair with curved legs that allow it to rock back and forth for relaxation.,Furniture,Used for relaxation.,Indoor,No,Medium
Rocking Horse,"A children’s toy shaped like a horse, mounted on curved rockers for riding.",Toy,For children to ride.,Indoor,Yes,Medium
Rolling Cabinet,A cabinet with wheels for easy mobility and storage.,Furniture,Used for storage and mobility.,Indoor,Yes,Medium
Rolling Chair,"A chair with wheels, often used in offices for ease of movement.",Furniture,Used in offices for ease of movement.,Indoor,Yes,Medium
Rolling Tool Box,A mobile toolbox with compartments for organizing and storing tools.,Tools,Organizing and storing tools.,Both,Yes,Medium
Room Divider,A freestanding screen or panel used to divide a room into separate spaces.,Furniture,Used to divide a room into separate spaces.,Indoor,Yes,Medium
Rotisserie Oven,"An oven with a rotating spit, used for evenly roasting meat.",Kitchen Appliance,Used for evenly roasting meat.,Indoor,No,Medium
Rug,"A decorative fabric floor covering, often used to add comfort or style to a room.",Home Decor,Used to add comfort or style to a room.,Indoor,Yes,Medium
Safe,A secure storage box designed to protect valuables from theft or damage.,Security,To protect valuables from theft or damage.,Indoor,No,Medium
Scale,"A device used to measure weight, often found in bathrooms or kitchens.",Home Appliance,Used to measure weight.,Indoor,Yes,Small
Screen Door,A door with a mesh screen to allow air circulation while keeping insects out.,Home Improvement,To allow air circulation while keeping insects out.,Outdoor,No,Large
Sculpture,"A three-dimensional work of art, often used for decoration.",Art,Used for decoration.,Both,No,Medium
Sewing Machine,"A machine used to stitch fabrics together for clothing, crafts, or repairs.",Craft Appliance,"Used to stitch fabrics together for clothing, crafts, or repairs.",Indoor,Yes,Medium
Sewing table,"A table designed for sewing, often with built-in storage for supplies and a space for a sewing machine.",Furniture,A table designed for sewing.,Indoor,No,Medium
Shed,"A small outdoor structure used for storage, typically for tools, equipment, or gardening supplies.",Outdoor Structure,"Used for storage of tools, equipment, or gardening supplies.",Outdoor,No,Small
Shelving Unit,"A structure with multiple shelves, used for organizing and storing items.",Furniture,Used for organizing and storing items.,Indoor,No,Medium
Shoe Rack,"A rack designed to organize and store shoes, often placed near entryways.",Furniture,Organize and store shoes.,Indoor,Yes,Medium
Shovel,"A tool with a broad blade and handle, used for digging or moving material like soil or snow.",Tool,Used for digging or moving material like soil or snow.,Outdoor,Yes,Medium
Shower,"A plumbing fixture that sprays water for bathing, typically installed in bathrooms.",Bathroom Fixture,Used for bathing by spraying water.,Indoor,No,Medium
Shower Base,"The floor structure of a shower, designed to drain water efficiently.",Bathroom Fixture,Used as the floor of a shower to drain water.,Indoor,No,Medium
Shower Chair,"A waterproof chair used for sitting while showering, often for individuals with mobility challenges.",Furniture,Used for sitting while showering.,Indoor,Yes,Medium
Shower Door,A glass or plastic door used to enclose a shower and prevent water from splashing outside.,Bathroom Fixture,Used to enclose a shower and prevent water from splashing outside.,Indoor,No,Medium
Shutter,"A hinged cover for windows, used for privacy, protection, or decorative purposes.",Home Decor,"Used for privacy, protection, or decorative purposes.",Both,No,Medium
Single Bed Frame,"A bed frame designed to hold a single-size mattress, typically for one person.",Furniture,Designed to hold a single-size mattress.,Indoor,No,Medium
Single Pull Out Bed,A bed with an additional mattress that pulls out from underneath for extra sleeping space.,Furniture,Provides extra sleeping space.,Indoor,No,Large
Sink,"A basin used for washing hands, dishes, or other items, found in kitchens or bathrooms.",Furniture,"Used for washing hands, dishes, or other items.",Indoor,No,Medium
Skis,"Long, flat boards attached to boots, used for gliding over snow in skiing.",Sports Equipment,Used for gliding over snow in skiing.,Outdoor,Yes,Large
Sleeping Cot,"A lightweight, portable bed often used for camping or temporary sleeping arrangements.",Furniture,Used for camping or temporary sleeping arrangements.,Both,Yes,Medium
Sleigh Bed,"A bed frame with curved head and footboards, resembling a sled in design.",Furniture,Primarily used for sleeping.,Indoor,No,Large
Sliding Door,A door that opens and closes by sliding horizontally along a track.,Furniture,Used for providing access by sliding open or closed.,Both,No,Large
Smoker,A cooking device designed to slow-cook and flavor food using smoke.,Kitchen Appliance,Used to slow-cook and flavor food using smoke.,Outdoor,No,Large
Snow Blower,A machine that removes snow by blowing it off driveways or sidewalks.,Outdoor Equipment,Used for removing snow from driveways or sidewalks.,Outdoor,Yes,Large
Snowboard,"A board used for sliding downhill on snow, typically while standing.",Sports Equipment,Used for sliding downhill on snow.,Outdoor,Yes,Large
Sofa,"A long, upholstered seat designed for multiple people, often used in living rooms.",Furniture,Designed for seating multiple people.,Indoor,No,Large
Sofa Bed,"A sofa that can be converted into a bed, offering dual functionality.",Furniture,Used for sitting and sleeping.,Indoor,No,Large
Sound Bar,A slim speaker designed to enhance TV audio quality.,Electronics,Enhancing TV audio quality.,Indoor,Yes,Medium
Sound Speaker,"A device that produces audio from a connected source, used for music or sound systems.",Electronics,Produces audio from a connected source.,Both,Yes,Medium
Sound System,"A collection of audio equipment, such as speakers and amplifiers, used for high-quality sound.",Electronics,Used for high-quality sound.,Indoor,No,Large
Space Heater,A portable heater used to warm individual rooms or small areas.,Electronics,Used to warm individual rooms or small areas.,Indoor,Yes,Small
Square Dining Table,"A table with a square top, used for dining or gatherings.",Furniture,Used for dining or gatherings.,Indoor,No,Medium
Square Table,"A table with a square surface, often used for dining, games, or work.",Furniture,"Used for dining, games, or work.",Indoor,No,Medium
Stackable Chair,A chair designed to be stacked on top of others for easy storage.,Furniture,Used for seating and easy storage.,Both,Yes,Medium
Stackable Washer,"A washing machine designed to be stacked with a dryer, saving space in laundry areas.",Home Appliance,Used for washing clothes.,Indoor,No,Medium
Stair Climbing Chair,A motorized chair installed on stairs to assist people with mobility in ascending or descending.,Mobility Aid,To assist people with mobility in ascending or descending stairs.,Indoor,No,Large
Stand Up Copy Machine,"A freestanding copy machine, often used in offices for duplicating documents.",Office Equipment,Used for duplicating documents.,Indoor,No,Large
Standalone chairs,"Individual chairs not attached to other furniture, often used for seating in various settings.",Furniture,Used for seating in various settings.,Both,Yes,Medium
Standing Desk,"A desk designed for use while standing, often adjustable for ergonomic purposes.",Furniture,Designed for use while standing.,Indoor,No,Medium
Stationary Bike,"An exercise machine that mimics cycling, used for cardio workouts.",Fitness Equipment,Used for cardio workouts.,Indoor,No,Medium
Stationary Tool Machine,"A fixed tool, such as a drill press or lathe, used in workshops for precise tasks.",Workshop Tool,Used in workshops for precise tasks.,Indoor,No,Large
Statue,"A three-dimensional sculpture representing a person, animal, or abstract form, often decorative.",Decor,Used for decoration.,Both,No,Medium
Steam Cleaner,"A device that uses steam to clean and sanitize surfaces, such as carpets or floors.",Cleaning Appliance,Used to clean and sanitize surfaces.,Indoor,Yes,Medium
Step Ladder,"A portable ladder with steps, often self-supporting for indoor or outdoor use.",Tool,Used for reaching high places.,Both,Yes,Medium
Stepper Exercise Machine,An exercise machine that simulates stair climbing for cardio and leg strength.,Fitness Equipment,Used for cardio and leg strength exercises.,Indoor,Yes,Medium
Stereo,An audio system designed to play music or other audio with high-quality sound.,Electronics,Used to play music or other audio.,Indoor,No,Medium
Stereo Cabinet,A cabinet designed to house stereo equipment and accessories.,Furniture,Designed to house stereo equipment and accessories.,Indoor,No,Medium
Stereo Woofer,A speaker component designed to produce low-frequency sounds or bass.,Electronics,Designed to produce low-frequency sounds or bass.,Indoor,No,Large
Stool,"A backless seat, often used at counters or bars.",Furniture,Used at counters or bars.,Indoor,Yes,Medium
Storage Basket,A container used for organizing and storing household items.,Storage,Used for organizing and storing household items.,Indoor,Yes,Medium
Storage Bed,"A bed frame with built-in storage compartments, often under the mattress.",Furniture,Used for sleeping and storage.,Indoor,No,Large
Storage Bench,"A bench with hidden storage inside, often used in entryways or bedrooms.",Furniture,Used for seating and storage in entryways or bedrooms.,Indoor,No,Medium
Storage Cabinet,A cabinet designed for organizing and storing household or office items.,Furniture,Organizing and storing household or office items.,Indoor,No,Medium
Storage Ottoman,"A cushioned ottoman with internal storage space, often used in living rooms.",Furniture,Used for storage and seating in living rooms.,Indoor,Yes,Medium
Storage Rack,A shelving unit used for organizing and storing items in homes or garages.,Furniture,Used for organizing and storing items.,Both,No,Large
Storage Tote,"A durable plastic or fabric container with a lid, used for organizing and storing items.",Storage,Used for organizing and storing items.,Both,Yes,Medium
Storage Trunk,"A large, durable box, often with a locking lid, used for storage or travel.",Furniture,Used for storage or travel.,Both,Yes,Large
Stove,"A kitchen appliance with burners for cooking food, often paired with an oven.",Kitchen Appliance,Used for cooking food.,Indoor,No,Large
Stroller,A wheeled device used for transporting infants or toddlers.,Baby Gear,Used for transporting infants or toddlers.,Both,Yes,Medium
Wooden Stud,A vertical wood beam used in the framing of walls or structures.,Building Material,Used in the framing of walls or structures.,Both,No,Large
Suitcase,"A portable case with handles, used for carrying clothing and personal items during travel.",Luggage,Used for carrying clothing and personal items during travel.,Both,Yes,Medium
Swing,"A suspended seat that moves back and forth, often found in playgrounds or backyards.",Outdoor Recreation,Used for swinging back and forth.,Outdoor,No,Large
Table Lamp,"A small lamp designed to sit on a table or desk, used for localized lighting.",Furniture,Used for localized lighting.,Indoor,Yes,Small
Tablet,"A portable electronic device with a touchscreen, used for browsing, reading, and apps.",Electronics,"Used for browsing, reading, and apps.",Indoor,Yes,Medium
Tea Cart,"A small, wheeled cart used to serve tea, snacks, or beverages.",Furniture,"Used to serve tea, snacks, or beverages.",Indoor,Yes,Small
Telescope,An optical instrument used to observe distant objects like stars and planets.,Optics,Used to observe distant objects like stars and planets.,Both,Yes,Medium
Tent,"A portable shelter made of fabric, supported by poles, used for camping or outdoor activities.",Outdoor Equipment,Used for camping or outdoor activities.,Outdoor,Yes,Medium
Tire,"A rubber covering that fits around a wheel, commonly used on vehicles.",Automotive,Used on vehicles to enable movement.,Outdoor,Yes,Large
Toaster,A kitchen appliance used for toasting bread or bagels.,Kitchen Appliance,Used for toasting bread or bagels.,Indoor,Yes,Small
Toaster Oven,"A compact oven used for toasting, baking, or reheating food.",Kitchen Appliance,"Used for toasting, baking, or reheating food.",Indoor,Yes,Small
Toddler Bed,A small bed designed for young children transitioning from a crib.,Furniture,Used for young children transitioning from a crib.,Indoor,No,Small
Toilet,"A plumbing fixture used for disposing of human waste, typically with a flushing mechanism.",Bathroom Fixture,Used for disposing of human waste.,Indoor,No,Medium
Toilet Cabinet,"A cabinet designed to store toiletries, often installed above or around a toilet.",Furniture,To store toiletries.,Indoor,No,Medium
Tool Box,"A container used to organize and carry tools, often with compartments or trays.",Tool Storage,Used to organize and carry tools.,Both,Yes,Medium
Trailer,"A vehicle designed to be pulled by another vehicle, often used for transporting goods or equipment.",Vehicle,Used for transporting goods or equipment.,Outdoor,Yes,Large
Trampoline,"A springy mat attached to a frame, used for jumping or gymnastics.",Recreational Equipment,Used for jumping or gymnastics.,Outdoor,No,Large
Trash Can,A container used to collect and dispose of garbage or waste.,Household Item,Used to collect and dispose of garbage or waste.,Both,Yes,Medium
Tray,"A flat, portable surface with raised edges, used for carrying or serving items.",Kitchenware,Used for carrying or serving items.,Both,Yes,Medium
Treadmill,"An exercise machine with a moving belt, used for walking or running in place.",Exercise Equipment,Used for walking or running in place.,Indoor,No,Large
Trundle Bed,"A low bed stored underneath another bed, pulled out for additional sleeping space.",Furniture,Provides additional sleeping space.,Indoor,No,Medium
Tube TV,An older television model with a cathode-ray tube screen.,Electronics,Used for watching television broadcasts.,Indoor,No,Medium
TV Console,A furniture piece designed to support and house a television and media equipment.,Furniture,To support and house a television and media equipment.,Indoor,No,Large
TV Stand,A stand used to hold a television and sometimes store media accessories.,Furniture,Used to hold a television and store media accessories.,Indoor,No,Medium
TV Tray,"A small, portable table designed for eating or working while sitting on a couch or chair.",Furniture,Designed for eating or working while sitting on a couch or chair.,Indoor,Yes,Small
TV Wall Mount,A bracket used to secure a television to a wall.,Electronics,Used to secure a television to a wall.,Indoor,No,Medium
Typewriter,"A mechanical device used for typing text on paper, popular before computers.",Office Equipment,Used for typing text on paper.,Indoor,Yes,Medium
Umbrella,"A portable device with a collapsible canopy, used for protection from rain or sun.",Accessory,Used for protection from rain or sun.,Outdoor,Yes,Medium
Upholstered Chair,A chair with a padded fabric or leather covering for added comfort.,Furniture,Used for seating.,Indoor,No,Medium
Utility Table,"A sturdy, multi-purpose table often used for work or storage.",Furniture,Used for work or storage.,Both,Yes,Medium
Vacuum,A cleaning device that uses suction to remove dirt and debris from floors or carpets.,Cleaning Appliance,Used to remove dirt and debris from floors or carpets.,Indoor,Yes,Medium
Vanity,"A small table with a mirror, used for grooming and storing cosmetics.",Furniture,Used for grooming and storing cosmetics.,Indoor,No,Small
Vanity lights,"Lighting fixtures installed around a mirror, often used in bathrooms or dressing rooms.",Lighting,Used around mirrors in bathrooms or dressing rooms.,Indoor,No,Medium
Vanity Stool,"A small, cushioned stool designed to be used with a vanity table.",Furniture,Used with a vanity table.,Indoor,Yes,Small
Vanity Table,"A table with a mirror and storage, used for grooming and makeup.",Furniture,Used for grooming and makeup.,Indoor,No,Medium
Vase,A container used to hold flowers or as a decorative object.,Decor,Used to hold flowers or as a decorative object.,Indoor,Yes,Medium
Vending Machine,"A machine that dispenses snacks, beverages, or other items when payment is inserted.",Electronics,Dispenses snacks and beverages.,Indoor,No,Large
Video Player,"A device used to play video content, such as DVDs, Blu-rays, or VHS tapes.",Electronics,Used to play video content.,Indoor,No,Medium
Violin,"A stringed musical instrument played with a bow, commonly used in classical music.",Musical Instrument,Played with a bow in classical music.,Indoor,Yes,Medium
Wagon,"A four-wheeled cart used for carrying goods, children, or other loads.",Transport,Used for carrying goods or children.,Both,Yes,Medium
Wakeboard,"A board used for wakeboarding, a water sport where the rider is towed behind a boat.",Water Sports Equipment,Used for wakeboarding.,Outdoor,Yes,Medium
Walker,"A mobility aid with a frame and wheels or feet, used to assist walking.",Mobility Aid,Used to assist walking.,Both,Yes,Medium
Wall Cabinet,"A storage cabinet mounted on a wall, often used in kitchens or bathrooms.",Furniture,Used for storage in kitchens or bathrooms.,Indoor,No,Medium
Wall Clock,"A clock designed to be hung on a wall, used for timekeeping and decoration.",Home Decor,Used for timekeeping and decoration.,Indoor,No,Medium
Wall Sconce,"A light fixture mounted on a wall, often used for ambient or decorative lighting.",Lighting,Used for ambient or decorative lighting.,Indoor,No,Medium
Wardrobe/Closet,A large storage unit used for hanging clothes and storing personal items.,Furniture,Used for hanging clothes and storing personal items.,Indoor,No,Large
Washer and Dryer Tower,"A stacked washer and dryer unit, designed to save space in laundry areas.",Home Appliance,Used for washing and drying clothes.,Indoor,No,Large
Washing Machine,"A household appliance used to wash clothes, typically with various cycle settings.",Household Appliance,Used to wash clothes.,Indoor,No,Large
Water Cooler,"A device that dispenses cold or hot drinking water, often used in offices or homes.",Appliance,Dispensing cold or hot drinking water.,Indoor,No,Medium
Water Heater,"A household appliance that heats water for bathing, cooking, or cleaning.",Household Appliance,"Heats water for bathing, cooking, or cleaning.",Indoor,No,Medium
Weight Bench,A bench designed for weightlifting and strength training exercises.,Fitness Equipment,Designed for weightlifting and strength training exercises.,Indoor,No,Medium
Wheelbarrow,"A single-wheeled cart with handles, used for carrying heavy or bulky loads.",Garden Tool,Used for carrying heavy or bulky loads.,Outdoor,Yes,Large
Wheelchair,"A chair with wheels, used by individuals with limited mobility for transportation.",Mobility Aid,Used by individuals with limited mobility for transportation.,Both,Yes,Medium
White Board,"A smooth, white surface used for writing or drawing with dry-erase markers.",Office Supplies,Used for writing or drawing with dry-erase markers.,Indoor,Yes,Medium
Wicker Chair,"A chair made of woven wicker or rattan, often used outdoors or in sunrooms.",Furniture,Used for seating.,Both,Yes,Medium
Wicker Couch,"A couch constructed from wicker or rattan, suitable for indoor or outdoor use.",Furniture,A couch for seating.,Both,No,Large
Wicker Dining Table,"A dining table made from wicker or rattan, often lightweight and decorative.",Furniture,Used for dining.,Both,Yes,Medium
Window,"A framed opening in a wall, fitted with glass panes, used for ventilation and light.",Building Material,Used for ventilation and light.,Both,No,Large
Wine Fridge,A small refrigerator designed to store wine at an optimal temperature.,Kitchen Appliance,Designed to store wine at an optimal temperature.,Indoor,No,Small
Wing Chair,"A high-backed chair with wing-like side panels, often upholstered for comfort.",Furniture,Primarily used for seating.,Indoor,No,Large
Wire Shelf,"A shelving unit made of metal wires, used for storage in homes or garages.",Furniture,Used for storage in homes or garages.,Both,Yes,Medium
Work Bench,"A sturdy table used for woodworking, metalworking, or other crafts and projects.",Furniture,"Used for woodworking, metalworking, or other crafts and projects.",Both,No,Large
Work Station Cabinet,"A cabinet with a built-in workspace, often used in offices or workshops.",Furniture,Used in offices or workshops.,Indoor,No,Medium
Yoga Mat,"A padded mat used for yoga or floor exercises, providing cushioning and grip.",Fitness Equipment,Used for yoga or floor exercises.,Indoor,Yes,Medium
